,ticker,list_date,market_cap,mkt_cap_low,mkt_cap_high,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
150,01593.HK,2019/12/13,22.00-35.20,22.0,22.0,2.2,3.52,2.2,0.7,1.0,-0.06364
151,03680.HK,2019/12/13,6.00-7.20,6.0,6.0,1.5,1.8,1.5,14.2,0.6,0.08
153,08216.HK,2019/12/13,2.40-2.80,2.4,2.4,0.6,0.7,0.6,23.4,0.3,-0.275
154,02400.HK,2019/12/12,47.51-67.63,47.51,47.51,11.1,15.8,11.1,10.2,0.4,0.06847
156,09966.HK,2019/12/12,84.08-94.24,84.08,84.08,9.1,10.2,10.2,191.1,0.4,0.32353000000000004
157,01503.HK,2019/12/10,38.57-45.11,38.57,38.57,3.42,4.0,3.42,0.4,1.0,-0.07894999999999999
158,02500.HK,2019/12/10,49.57-56.41,49.57,49.57,29.0,33.0,33.0,311.4,0.3,0.30455
159,08645.HK,2019/12/09,2.04-2.40,2.04,2.04,0.34,0.4,0.4,147.6,0.2,-0.3
160,02231.HK,2019/12/05,46.56-58.08,46.56,46.56,2.91,3.63,3.16,0.9,1.0,0.02215
161,08208.HK,2019/11/29,2.28-2.88,2.28,2.28,0.38,0.48,0.4,29.3,0.28,0.0
162,01425.HK,2019/11/28,5.00-6.25,5.0,5.0,0.4,0.5,0.4,13.0,0.21,0.0375
163,03759.HK,2019/11/28,46.24-52.94,46.24,46.24,34.5,39.5,39.5,113.2,1.0,0.06962
164,09988.HK,2019/11/26,40348.15,40348.15,40348.15,188.0,188.0,176.0,41.4,0.8,0.06591
165,01756.HK,2019/11/25,35.16-39.12,35.16,35.16,2.93,3.26,3.26,2.7,0.7,-0.17178000000000002
166,02296.HK,2019/11/21,5.00-6.00,5.0,5.0,0.25,0.3,0.25,60.0,0.25,0.04
169,03348.HK,2019/11/15,5.25-7.90,5.25,5.25,1.05,1.58,1.58,26.7,0.5,-0.21519000000000002
170,08617.HK,2019/11/15,2.00-2.40,2.0,2.0,0.5,0.6,0.55,61.7,0.3,0.01818
171,01747.HK,2019/11/14,5.10-7.45,5.1,5.1,1.02,1.49,1.02,15.1,0.4,-0.09804
173,08627.HK,2019/11/14,2.00-2.64,2.0,2.0,0.25,0.33,0.275,35.1,0.3,0.01818
174,01346.HK,2019/11/13,5.44-6.72,5.44,5.44,0.85,1.05,0.85,30.2,0.4,-0.27059
175,01401.HK,2019/11/13,5.00-6.00,5.0,5.0,0.5,0.6,0.5,73.0,0.05,0.24
176,06186.HK,2019/11/13,670.00-893.33,670.0,670.0,7.5,10.0,7.5,12.1,0.65,-0.008
178,01640.HK,2019/11/12,5.00-7.00,5.0,5.0,1.25,1.75,1.25,18.5,0.65,-0.008
179,03681.HK,2019/11/12,76.47-96.60,76.47,76.47,7.6,9.6,7.6,11.9,1.0,-0.21053
181,01501.HK,2019/11/08,8.04-8.32,8.04,8.04,20.1,20.8,20.8,267.0,0.3,0.29808
182,01870.HK,2019/11/08,5.04-6.81,5.04,5.04,0.97,1.31,0.97,19.1,0.25,0.46391999999999994
183,01875.HK,2019/11/08,37.34-43.04,37.34,37.34,6.55,7.55,6.55,12.0,0.15,-0.04427
184,01921.HK,2019/11/08,23.85-27.45,23.85,23.85,1.59,1.83,1.59,1.5,0.6,-0.037739999999999996
185,01987.HK,2019/11/08,5.00-7.00,5.0,5.0,0.5,0.7,0.5,25.4,0.35,0.0
186,03603.HK,2019/11/08,13.50-16.50,13.5,13.5,0.9,1.1,1.0,3.6,0.8,0.3
187,01922.HK,2019/11/06,5.07-6.08,5.07,5.07,1.9,2.28,2.18,381.9,0.03,0.15596
188,02163.HK,2019/11/06,11.80-15.21,11.8,11.8,9.68,12.48,9.68,0.4,1.0,-0.00103
189,01821.HK,2019/11/01,491.93-528.37,491.93,491.93,16.2,17.4,16.8,2.2,1.0,0.05357
190,00302.HK,2019/10/31,51.03-65.94,51.03,51.03,2.19,2.83,2.83,542.8,0.15,0.0212
191,01847.HK,2019/10/31,3.70-4.70,3.7,3.7,2.76,3.51,3.36,17.5,0.7,-0.20833000000000002
192,06855.HK,2019/10/28,66.68-70.82,66.68,66.68,32.2,34.2,34.2,751.0,0.09,0.09942000000000001
193,01692.HK,2019/10/25,5.20-6.00,5.2,5.2,1.3,1.5,1.3,273.5,0.1,-0.33846
194,01853.HK,2019/10/24,2.22-2.92,2.22,2.22,1.9,2.5,2.35,97.3,0.2,-0.06383
195,01871.HK,2019/10/24,5.12-5.68,5.12,5.12,1.28,1.42,1.28,379.2,0.016,-0.32031
197,01843.HK,2019/10/23,5.20-6.00,5.2,5.2,0.65,0.75,0.65,12.7,0.195,-0.06154
198,08441.HK,2019/10/22,2.56-3.12,2.56,2.56,0.32,0.39,0.32,40.6,0.3,0.78125
199,01283.HK,2019/10/18,5.00-6.00,5.0,5.0,0.625,0.75,0.73,80.6,0.1,0.0137
200,01959.HK,2019/10/18,5.05-6.15,5.05,5.05,1.01,1.23,1.08,21.2,0.4,-0.28704
201,01967.HK,2019/10/18,5.00-6.25,5.0,5.0,2.0,2.5,2.0,11.9,0.15,0.7
202,02606.HK,2019/10/18,52.53-66.95,52.53,52.53,30.6,39.0,37.0,51.9,1.0,0.15
203,01084.HK,2019/10/17,9.28-13.92,9.28,9.28,1.16,1.74,1.16,0.6,1.0,0.16379000000000002
204,01582.HK,2019/10/16,5.00-7.00,5.0,5.0,1.0,1.4,1.0,8.9,0.2,0.15
205,01955.HK,2019/10/16,5.00-6.00,5.0,5.0,1.0,1.2,1.0,49.0,0.5,0.23
206,01846.HK,2019/10/15,19.67-27.93,19.67,19.67,6.2,8.8,7.5,41.7,0.3,0.46667000000000003
207,01895.HK,2019/10/11,10.40-15.00,10.4,10.4,2.08,3.0,2.08,5.0,0.2,0.41827
208,08418.HK,2019/10/11,1.70-2.21,1.7,1.7,0.2,0.26,0.24,27.2,0.4,0.9375
209,03601.HK,2019/10/10,5.98-7.80,5.98,5.98,2.3,3.0,2.7,276.4,0.2,2.18519
210,06110.HK,2019/10/10,514.70-626.32,514.7,514.7,8.3,10.1,8.5,1.4,1.0,0.08824
211,06820.HK,2019/10/08,33.44-43.12,33.44,33.44,1.52,1.96,1.52,7.0,0.5,0.0
212,01876.HK,2019/09/30,3575.72-3973.02,3575.72,3575.72,27.0,30.0,27.0,2.6,1.0,0.04444
213,01960.HK,2019/09/30,5.00-6.00,5.0,5.0,0.5,0.6,0.5,8.6,0.1,0.6
214,03938.HK,2019/09/30,5.20-6.80,5.2,5.2,1.3,1.7,1.68,27.4,0.251,-0.36310000000000003
215,08668.HK,2019/09/26,2.40-2.88,2.4,2.4,0.2,0.24,0.24,53.9,0.3,0.00417
216,02696.HK,2019/09/25,78.89-91.94,78.89,78.89,49.6,57.8,49.6,2.9,1.0,-0.00302
217,03928.HK,2019/09/19,5.04-5.52,5.04,5.04,1.05,1.15,1.07,6.2,0.35,0.14019
223,00382.HK,2019/07/16,24.80-32.20,24.8,24.8,2.48,3.22,2.85,1.4,1.0,0.007020000000000001
224,01134.HK,2019/07/16,5.00-6.00,5.0,5.0,1.0,1.2,1.0,28.7,0.15,0.06
225,01912.HK,2019/07/16,5.04-5.44,5.04,5.04,0.63,0.68,0.65,38.9,0.25,0.06154
226,01949.HK,2019/07/16,5.00-6.20,5.0,5.0,1.25,1.55,1.25,12.7,0.14,0.24
227,02772.HK,2019/07/16,183.56-235.80,183.56,183.56,5.2,6.68,5.55,0.0,1.0,0.07207000000000001
228,06805.HK,2019/07/16,12.10-16.13,12.1,12.1,1.08,1.44,1.33,1.0,0.9,-0.022559999999999997
229,01931.HK,2019/07/12,40.94-49.07,40.94,40.94,3.07,3.68,3.07,1.2,0.5,0.0
231,06093.HK,2019/07/12,5.12-6.24,5.12,5.12,1.28,1.56,1.28,4.3,0.2,0.34375
232,08612.HK,2019/07/12,2.40-3.30,2.4,2.4,0.4,0.55,0.55,27.2,0.35,0.41818000000000005
233,01839.HK,2019/07/11,35.98-45.56,35.98,35.98,6.38,8.08,6.38,1.7,1.0,-0.03762
234,02180.HK,2019/07/10,19.80-25.20,19.8,19.8,9.9,12.6,9.9,3.7,0.85,-0.0101
235,00924.HK,2019/07/05,5.00-6.00,5.0,5.0,0.5,0.6,0.5,12.4,0.068,1.32
236,03798.HK,2019/07/04,16.96-23.24,16.96,16.96,1.35,1.85,1.35,1.8,0.6,0.26666999999999996
237,01286.HK,2019/06/28,52.73-62.15,52.73,52.73,2.8,3.3,3.0,1.7,1.0,0.0033299999999999996
238,01701.HK,2019/06/28,5.20-6.80,5.2,5.2,0.52,0.68,0.52,5.2,0.6,-0.41346000000000005
240,01901.HK,2019/06/28,5.00-5.50,5.0,5.0,1.0,1.1,1.05,18.1,0.5,-0.06667000000000001
241,01930.HK,2019/06/28,5.28-5.81,5.28,5.28,0.8,0.88,0.88,5.0,0.4,0.34091
242,01943.HK,2019/06/28,5.00-5.40,5.0,5.0,0.5,0.54,0.5,2.2,1.0,-0.07
244,01849.HK,2019/06/26,5.20-5.60,5.2,5.2,0.65,0.7,0.65,8.0,0.25,-0.24614999999999998
245,01951.HK,2019/06/25,188.91-207.90,188.91,188.91,7.76,8.54,8.54,98.3,0.65,0.08664999999999999
246,01769.HK,2019/06/21,20.23-26.01,20.23,20.23,3.64,4.68,3.68,0.6,1.0,0.00272
251,03692.HK,2019/06/14,745.19-813.66,745.19,745.19,13.06,14.26,14.26,10.8,0.6,0.36746
252,02189.HK,2019/06/13,6.00-6.40,6.0,6.0,0.6,0.64,0.6,79.4,0.2,-0.06667000000000001
253,06811.HK,2019/06/13,28.00-38.00,28.0,28.0,2.8,3.8,3.0,14.5,0.8,-0.12
255,06055.HK,2019/06/12,26.84-33.75,26.84,26.84,3.88,4.88,4.88,101.0,0.6,0.09631
257,02181.HK,2019/05/31,61.86-80.42,61.86,61.86,1.5,1.95,1.5,0.5,1.0,-0.19332999999999997
258,01521.HK,2019/05/30,51.19-64.24,51.19,51.19,2.55,3.2,3.2,90.7,0.5,0.04688
260,03868.HK,2019/05/28,125.26-155.74,125.26,125.26,1.89,2.35,1.94,0.1,1.0,0.0
262,02230.HK,2019/05/21,8.96-10.56,8.96,8.96,0.45,0.53,0.45,14.8,0.6,-0.31111
263,01832.HK,2019/05/16,12.74-16.13,12.74,12.74,3.54,4.48,3.54,0.2,1.0,-0.0226
264,02346.HK,2019/05/16,5.00-6.10,5.0,5.0,1.0,1.22,1.0,10.4,0.5,0.11
265,01903.HK,2019/05/10,5.90-6.90,5.9,5.9,1.18,1.38,1.18,0.2,1.0,0.04237
267,01873.HK,2019/05/09,51.30-66.15,51.3,51.3,3.42,4.41,4.41,105.9,1.0,0.00227
268,01857.HK,2019/05/08,83.12-120.93,83.12,83.12,2.99,4.35,2.99,1.4,1.0,-0.11370999999999999
269,01753.HK,2019/05/07,66.67-90.00,66.67,66.67,6.0,8.1,6.0,6.7,1.0,0.0016699999999999998
270,08635.HK,2019/05/02,2.12-2.68,2.12,2.12,0.53,0.67,0.53,100.3,0.15,0.37736
271,01780.HK,2019/04/30,5.21-6.57,5.21,5.21,0.84,1.06,0.84,10.3,0.3,0.05952000000000001
272,01906.HK,2019/04/26,5.52-7.20,5.52,5.52,0.46,0.6,0.58,94.9,0.5,0.0
273,06806.HK,2019/04/26,90.90-98.41,90.9,90.9,3.63,3.93,3.63,2.8,1.0,-0.11845999999999998
274,01545.HK,2019/04/25,6.00-7.80,6.0,6.0,0.3,0.39,0.3,54.9,0.5,-0.1
275,03321.HK,2019/04/23,7.00-9.00,7.0,7.0,1.4,1.8,1.4,6.9,0.16,-0.0071400000000000005
276,02660.HK,2019/04/16,11.20-13.20,11.2,11.2,1.12,1.32,1.23,46.5,0.5,0.30894
278,01797.HK,2019/03/28,85.00-101.45,85.0,85.0,9.3,11.1,10.2,8.2,1.0,0.0
279,06185.HK,2019/03/28,27.86-29.19,27.86,27.86,21.0,22.0,22.0,89.8,1.0,0.57727
280,01865.HK,2019/03/27,5.06-5.98,5.06,5.06,0.55,0.65,0.55,26.0,0.5,0.2
282,08537.HK,2019/03/27,2.25-2.55,2.25,2.25,0.3,0.34,0.3,102.7,0.14,0.35
286,03662.HK,2019/03/18,24.36-30.10,24.36,24.36,3.48,4.3,3.66,5.2,1.0,0.21585000000000001
287,01563.HK,2019/03/15,12.60-25.05,12.6,12.6,0.84,1.67,0.85,0.1,1.0,-0.023530000000000002
