,ticker,list_date,market_cap,mkt_cap_low,mkt_cap_high,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
62,06969.HK,2020/07/10,559.65-722.88,559.65,559.65,9.6,12.4,12.4,115.0,0.2,1.5
63,06978.HK,2020/07/10,54.03-56.60,54.03,54.03,10.5,11.0,11.0,258.6,0.2,0.40726999999999997
64,08623.HK,2020/07/10,2.00-3.20,2.0,2.0,0.25,0.4,0.3,28.1,0.6,-0.27666999999999997
65,09979.HK,2020/07/10,43.08-58.74,43.08,43.08,2.2,3.0,2.5,10.2,0.4,0.3
66,01957.HK,2020/07/08,5.02-5.53,5.02,5.02,0.8,0.88,0.8,22.5,0.65,-0.56875
67,09989.HK,2020/07/08,40.50-45.34,40.5,40.5,18.4,20.6,18.4,68.2,0.4,-0.040220000000000006
68,01971.HK,2020/07/07,13.70-17.85,13.7,13.7,3.3,4.3,4.15,110.8,0.3,0.06024
69,01502.HK,2020/07/06,6.44-6.80,6.44,6.44,7.16,7.56,7.36,145.2,0.2,0.28533000000000003
70,01650.HK,2020/07/03,5.00-6.00,5.0,5.0,0.25,0.3,0.25,18.9,0.2,-0.46399999999999997
71,06078.HK,2020/06/29,102.00-111.00,102.0,102.0,17.0,18.5,18.5,607.6,0.08800000000000001,0.40541
72,09997.HK,2020/06/29,154.77-173.81,154.77,154.77,12.36,13.88,13.88,988.2,0.09,0.9884700000000001
73,09958.HK,2020/06/22,7.68-11.52,7.68,7.68,2.56,3.84,2.56,10.7,0.2,-0.37890999999999997
74,09618.HK,2020/06/18,7293.28,7293.28,7293.28,236.0,236.0,226.0,177.9,0.1,0.0354
76,09999.HK,2020/06/11,4321.04,4321.04,4321.04,126.0,126.0,123.0,359.5,0.08,0.056909999999999995
77,01645.HK,2020/06/03,5.01-6.96,5.01,5.01,1.08,1.5,1.38,167.3,0.08,-0.13043
78,02381.HK,2020/06/02,5.00,5.0,5.0,0.25,0.25,0.25,36.3,0.331,-0.436
79,09923.HK,2020/06/01,52.43-69.02,52.43,52.43,12.64,16.64,16.64,640.4,0.1,0.0613
81,09939.HK,2020/05/22,65.75-74.43,65.75,65.75,17.8,20.15,20.15,550.3,0.1,0.067
82,08496.HK,2020/05/18,2.16-2.64,2.16,2.16,0.9,1.1,0.9,15.4,0.12300000000000001,1.28889
83,09983.HK,2020/05/15,67.20-86.40,67.2,67.2,5.6,7.2,6.85,141.5,0.25,0.22190000000000001
84,09996.HK,2020/05/15,93.70,93.7,93.7,15.36,15.36,15.36,0.0,0.085,0.6796899999999999
85,01147.HK,2020/05/13,5.00,5.0,5.0,0.25,0.25,0.25,114.6,0.3,-0.348
86,01936.HK,2020/05/13,5.00-6.00,5.0,5.0,1.0,1.2,1.0,4.3,0.3,1.76
87,01376.HK,2020/05/07,5.00-6.50,5.0,5.0,0.5,0.65,0.5,13.2,0.1,0.26
88,01953.HK,2020/04/28,5.04-5.80,5.04,5.04,0.4,0.46,0.4,14.9,0.25,0.1875
89,09926.HK,2020/04/24,113.55-123.47,113.55,113.55,14.88,16.18,16.18,638.2,0.12,0.50185
90,08616.HK,2020/04/23,2.40-2.80,2.4,2.4,0.24,0.28,0.24,33.7,0.2,1.125
92,08620.HK,2020/04/20,2.02-2.78,2.02,2.02,0.42,0.58,0.5,195.2,0.1,-0.36
93,01942.HK,2020/04/15,5.00-6.00,5.0,5.0,1.0,1.2,1.0,39.0,0.35,-0.5
94,03390.HK,2020/04/15,11.84-12.16,11.84,11.84,1.48,1.52,1.49,5.8,0.251,-0.3557
95,06063.HK,2020/04/15,5.00-5.80,5.0,5.0,0.25,0.29,0.25,13.2,0.2,1.76
96,01463.HK,2020/03/27,5.04-5.84,5.04,5.04,0.63,0.73,0.63,10.2,0.13,0.36508
97,09969.HK,2020/03/23,102.38-112.02,102.38,102.38,8.18,8.95,8.95,297.8,0.25,0.09609
99,00589.HK,2020/03/18,8.44-10.31,8.44,8.44,1.35,1.65,1.65,58.0,0.6,0.14545
101,06918.HK,2020/03/18,6.08-7.64,6.08,6.08,1.17,1.47,1.38,19.4,0.5,-0.34783000000000003
102,01472.HK,2020/03/17,5.00-6.30,5.0,5.0,0.5,0.63,0.5,1.5,0.758,1.48
103,01961.HK,2020/03/17,8.19-9.83,8.19,8.19,1.5,1.8,1.35,22.1,0.6,0.03704
105,01941.HK,2020/03/13,5.28-6.32,5.28,5.28,1.32,1.58,1.56,0.0,0.03,0.10255999999999998
106,01343.HK,2020/03/12,5.11-6.38,5.11,5.11,0.48,0.6,0.48,3.8,0.3,0.64583
107,01433.HK,2020/03/12,5.00-5.80,5.0,5.0,0.25,0.29,0.25,73.7,0.7,-0.4
108,01950.HK,2020/03/12,5.00-6.00,5.0,5.0,0.5,0.6,0.52,11.5,0.3,-0.01923
109,09936.HK,2020/03/12,6.69-8.67,6.69,6.69,2.23,2.89,2.23,14.7,0.35,-0.08968999999999999
110,09916.HK,2020/03/09,6.00-8.00,6.0,6.0,1.5,2.0,1.99,0.0,0.03,0.020099999999999996
111,02263.HK,2020/02/19,5.00-6.00,5.0,5.0,0.5,0.6,0.5,129.4,0.2,-0.2
113,01442.HK,2020/01/21,5.60-6.80,5.6,5.6,0.28,0.34,0.31,9.5,0.1,0.09677
114,01601.HK,2020/01/21,5.07-5.73,5.07,5.07,1.52,1.72,1.52,4.8,1.0,0.0
115,09933.HK,2020/01/21,5.10-6.50,5.1,5.1,0.51,0.65,0.51,20.7,0.4,-0.31373
116,01745.HK,2020/01/17,21.15-29.90,21.15,21.15,1.5,2.12,2.12,83.7,0.2,-0.10377
117,01937.HK,2020/01/17,5.30-6.00,5.3,5.3,0.53,0.6,0.53,6.6,0.5,-0.36792
118,09938.HK,2020/01/17,5.00-5.40,5.0,5.0,0.5,0.54,0.5,15.7,0.25,0.6
119,00301.HK,2020/01/16,5.13-5.99,5.13,5.13,1.2,1.4,1.3,36.8,0.3,-0.20769
120,01412.HK,2020/01/16,5.59-7.71,5.59,5.59,1.05,1.45,1.18,5.8,0.493,-0.0678
121,01525.HK,2020/01/16,24.20-30.92,24.2,24.2,6.05,7.73,6.05,3.5,0.4,0.12562
122,01740.HK,2020/01/16,5.00-7.40,5.0,5.0,0.5,0.74,0.5,0.0,0.015,0.4
123,01925.HK,2020/01/16,5.12-6.40,5.12,5.12,1.28,1.6,1.28,16.7,0.6,-0.25
124,09919.HK,2020/01/16,13.68-18.72,13.68,13.68,1.71,2.34,2.02,112.8,0.2,-0.22276999999999997
126,01416.HK,2020/01/15,5.04-5.32,5.04,5.04,0.36,0.38,0.36,17.2,0.182,-0.29167
127,03718.HK,2020/01/15,24.84-28.80,24.84,24.84,0.69,0.8,0.69,1.7,0.8,0.0
128,09922.HK,2020/01/15,73.34-88.00,73.34,73.34,5.5,6.6,6.6,636.8,0.25,0.5636399999999999
129,01802.HK,2020/01/14,6.30-8.14,6.3,6.3,1.06,1.37,1.06,11.6,0.25,0.028300000000000002
130,08500.HK,2020/01/14,2.48-3.56,2.48,2.48,1.38,1.98,1.39,14.1,0.19899999999999998,-0.28776999999999997
131,02528.HK,2020/01/13,6.80-8.40,6.8,6.8,1.7,2.1,2.0,16.7,0.14,-0.27
132,08646.HK,2020/01/13,2.31-2.67,2.31,2.31,0.77,0.89,0.77,26.9,0.105,0.02597
133,09918.HK,2020/01/10,5.00-6.20,5.0,5.0,0.25,0.31,0.25,34.2,0.4,-0.004
134,09998.HK,2020/01/08,5.20-6.00,5.2,5.2,0.65,0.75,0.65,47.7,0.053,-0.07692
135,01542.HK,2019/12/31,2.11-2.51,2.11,2.11,4.21,5.01,4.22,4.5,0.2,0.0
136,09911.HK,2019/12/31,14.00-18.00,14.0,14.0,1.4,1.8,1.68,0.0,0.02,0.9345200000000001
139,09909.HK,2019/12/30,46.69-62.25,46.69,46.69,7.5,10.0,9.5,52.2,0.9,0.058949999999999995
143,06049.HK,2019/12/19,47.07-53.82,47.07,47.07,30.7,35.1,35.1,221.7,1.0,0.29202
144,09928.HK,2019/12/19,38.44-52.70,38.44,38.44,4.23,5.8,5.15,9.6,0.35,-0.05243
146,01553.HK,2019/12/18,8.07-10.41,8.07,8.07,1.86,2.4,2.28,7.3,0.2,-0.05702000000000001
147,01691.HK,2019/12/18,173.27,173.27,173.27,5.2,5.2,5.2,1.7,1.0,0.05577000000000001
148,06193.HK,2019/12/18,5.20-5.60,5.2,5.2,1.3,1.4,1.3,41.0,0.15,0.13845999999999997
