ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
03390.HK,2020/04/15,11.84-12.16,1.48,1.52,1.490,5.8,25.1%,-35.570%
06063.HK,2020/04/15,5.00-5.80,0.25,0.29,0.250,13.2,20.0%,+176.000%
01463.HK,2020/03/27,5.04-5.84,0.63,0.73,0.630,10.2,13.0%,+36.508%
09969.HK,2020/03/23,102.38-112.02,8.18,8.95,8.950,297.8,25.0%,+9.609%
01657.HK,2020/03/20,N/A,N/A,N/A,N/A,N/A,N/A,-3.978%
00589.HK,2020/03/18,8.44-10.31,1.35,1.65,1.650,58.0,60.0%,+14.545%
03991.HK,2020/03/18,N/A,N/A,N/A,N/A,N/A,N/A,-12.500%
06918.HK,2020/03/18,6.08-7.64,1.17,1.47,1.380,19.4,50.0%,-34.783%
01472.HK,2020/03/17,5.00-6.30,0.50,0.63,0.500,1.5,75.8%,+148.000%
01961.HK,2020/03/17,8.19-9.83,1.50,1.80,1.350,22.1,60.0%,+3.704%
01859.HK,2020/03/13,36.00-53.92,2.25,3.37,2.260,認購不足,100.0%,-7.080%
01941.HK,2020/03/13,5.28-6.32,1.32,1.58,1.560,"1,947.6",3.0%,+10.256%
01343.HK,2020/03/12,5.11-6.38,0.48,0.60,0.480,3.8,30.0%,+64.583%
01433.HK,2020/03/12,5.00-5.80,0.25,0.29,0.250,73.7,70.0%,-40.000%
01950.HK,2020/03/12,5.00-6.00,0.50,0.60,0.520,11.5,30.0%,-1.923%
09936.HK,2020/03/12,6.69-8.67,2.23,2.89,2.230,14.7,35.0%,-8.969%
09916.HK,2020/03/09,6.00-8.00,1.50,2.00,1.990,"1,413.1",3.0%,+2.010%
02263.HK,2020/02/19,5.00-6.00,0.50,0.60,0.500,129.4,20.0%,-20.000%
09929.HK,2020/02/14,N/A,0.25,0.35,0.250,4.6,26.1%,+2.000%
01442.HK,2020/01/21,5.60-6.80,0.28,0.34,0.310,9.5,10.0%,+9.677%
01601.HK,2020/01/21,5.07-5.73,1.52,1.72,1.520,4.8,100.0%,0.000%
09933.HK,2020/01/21,5.10-6.50,0.51,0.65,0.510,20.7,40.0%,-31.373%
01745.HK,2020/01/17,21.15-29.90,1.50,2.12,2.120,83.7,20.0%,-10.377%
01937.HK,2020/01/17,5.30-6.00,0.53,0.60,0.530,6.6,50.0%,-36.792%
09938.HK,2020/01/17,5.00-5.40,0.50,0.54,0.500,15.7,25.0%,+60.000%
00301.HK,2020/01/16,5.13-5.99,1.20,1.40,1.300,36.8,30.0%,-20.769%
01412.HK,2020/01/16,5.59-7.71,1.05,1.45,1.180,5.8,49.3%,-6.780%
01525.HK,2020/01/16,24.20-30.92,6.05,7.73,6.050,3.5,40.0%,+12.562%
01740.HK,2020/01/16,5.00-7.40,0.50,0.74,0.500,"1,211.2",1.5%,+40.000%
01925.HK,2020/01/16,5.12-6.40,1.28,1.60,1.280,16.7,60.0%,-25.000%
09919.HK,2020/01/16,13.68-18.72,1.71,2.34,2.020,112.8,20.0%,-22.277%
09968.HK,2020/01/16,101.40-125.57,1.93,2.39,1.930,認購不足,100.0%,+1.036%
01416.HK,2020/01/15,5.04-5.32,0.36,0.38,0.360,17.2,18.2%,-29.167%
03718.HK,2020/01/15,24.84-28.80,0.69,0.80,0.690,1.7,80.0%,0.000%
09922.HK,2020/01/15,73.34-88.00,5.50,6.60,6.600,636.8,25.0%,+56.364%
01802.HK,2020/01/14,6.30-8.14,1.06,1.37,1.060,11.6,25.0%,+2.830%
08500.HK,2020/01/14,2.48-3.56,1.38,1.98,1.390,14.1,19.9%,-28.777%
02528.HK,2020/01/13,6.80-8.40,1.70,2.10,2.000,16.7,14.0%,-27.000%
08646.HK,2020/01/13,2.31-2.67,0.77,0.89,0.770,26.9,10.5%,+2.597%
09918.HK,2020/01/10,5.00-6.20,0.25,0.31,0.250,34.2,40.0%,-0.400%
09998.HK,2020/01/08,5.20-6.00,0.65,0.75,0.650,47.7,5.3%,-7.692%
01542.HK,2019/12/31,2.11-2.51,4.21,5.01,4.220,4.5,20.0%,0.000%
09911.HK,2019/12/31,14.00-18.00,1.40,1.80,1.680,"1,440.8",2.0%,+93.452%
06199.HK,2019/12/30,54.12-57.42,2.46,2.61,2.480,認購不足,100.0%,-7.258%
09900.HK,2019/12/30,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
09909.HK,2019/12/30,46.69-62.25,7.50,10.00,9.500,52.2,90.0%,+5.895%
01410.HK,2019/12/24,N/A,N/A,N/A,N/A,N/A,N/A,-12.329%
06928.HK,2019/12/23,N/A,N/A,N/A,N/A,N/A,N/A,-8.140%
01529.HK,2019/12/19,N/A,N/A,N/A,N/A,N/A,N/A,-11.940%
06049.HK,2019/12/19,47.07-53.82,30.70,35.10,35.100,221.7,100.0%,+29.202%
09928.HK,2019/12/19,38.44-52.70,4.23,5.80,5.150,9.6,35.0%,-5.243%
01402.HK,2019/12/18,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
01553.HK,2019/12/18,8.07-10.41,1.86,2.40,2.280,7.3,20.0%,-5.702%
01691.HK,2019/12/18,173.27,5.20,5.20,5.200,1.7,100.0%,+5.577%
06193.HK,2019/12/18,5.20-5.60,1.30,1.40,1.300,41.0,15.0%,+13.846%
06966.HK,2019/12/17,N/A,N/A,N/A,N/A,N/A,N/A,+1.316%
01593.HK,2019/12/13,22.00-35.20,2.20,3.52,2.200,0.7,100.0%,-6.364%
03680.HK,2019/12/13,6.00-7.20,1.50,1.80,1.500,14.2,60.0%,+8.000%
06919.HK,2019/12/13,40.88-44.41,26.60,28.90,26.600,認購不足,100.0%,-0.188%
08216.HK,2019/12/13,2.40-2.80,0.60,0.70,0.600,23.4,30.0%,-27.500%
02400.HK,2019/12/12,47.51-67.63,11.10,15.80,11.100,10.2,40.0%,+6.847%
03860.HK,2019/12/12,N/A,N/A,N/A,N/A,N/A,N/A,+5.263%
09966.HK,2019/12/12,84.08-94.24,9.10,10.20,10.200,191.1,40.0%,+32.353%
01503.HK,2019/12/10,38.57-45.11,3.42,4.00,3.420,0.4,100.0%,-7.895%
02500.HK,2019/12/10,49.57-56.41,29.00,33.00,33.000,311.4,30.0%,+30.455%
