,ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
37,06988.HK,2020/09/23,46.54-69.82,2.14,3.21,2.880,"1,631.9",10.0%,-6.250%
38,01179.HK,2020/09/22,"1,168.21",368.00,368.00,297.000,2.4,100.0%,+4.714%
39,02101.HK,2020/09/18,27.60-35.60,6.90,8.90,8.900,"1,257.5",2.0%,+3.146%
40,01455.HK,2020/09/15,5.00-7.50,0.40,0.60,0.400,6.7,30.0%,+230.000%
41,01408.HK,2020/09/11,5.00-6.00,1.00,1.20,1.000,8.0,30.1%,+186.000%
42,09987.HK,2020/09/10,"1,961.42",468.00,468.00,412.000,51.3,25.0%,-5.291%
43,09633.HK,2020/09/08,"970.40-1,069.93",19.50,21.50,21.500,"1,147.3",12.0%,+53.953%
44,09913.HK,2020/08/14,5.20-6.40,0.52,0.64,0.520,18.2,80.0%,-18.269%
45,03347.HK,2020/08/07,94.22-107.07,88.00,100.00,100.000,413.4,5.0%,+13.300%
46,01449.HK,2020/08/06,14.00-17.33,2.10,2.60,2.100,26.9,20.0%,-11.905%
47,00368.HK,2020/07/17,5.04-5.52,0.63,0.69,0.630,9.7,10.0%,+11.111%
49,09908.HK,2020/07/16,12.41-16.54,9.00,12.00,10.000,5.7,18.0%,+10.400%
50,09977.HK,2020/07/16,46.62-71.40,3.33,5.10,3.330,1.1,85.0%,+0.901%
51,01156.HK,2020/07/15,5.40-7.05,0.98,1.28,0.980,8.4,8.5%,-28.571%
52,01981.HK,2020/07/15,47.48-51.46,2.86,3.10,3.100,33.6,50.0%,+58.710%
53,06933.HK,2020/07/15,6.52-7.48,1.63,1.87,1.630,4.6,25.0%,+4.294%
55,09986.HK,2020/07/15,10.00-14.00,1.25,1.75,1.250,3.1,50.0%,-10.400%
56,09990.HK,2020/07/15,79.92-94.60,9.80,11.60,11.600,122.0,20.0%,+75.000%
57,08659.HK,2020/07/13,2.40-3.60,0.40,0.60,0.400,10.3,13.0%,+90.000%
58,09906.HK,2020/07/13,10.80-13.80,1.80,2.30,2.100,14.0,10.0%,+15.238%
59,01163.HK,2020/07/10,5.23-6.23,0.84,1.00,0.860,5.2,45.0%,+24.419%
60,01477.HK,2020/07/10,77.79-86.66,13.16,14.66,14.660,"1,895.8",5.0%,+152.387%
61,06958.HK,2020/07/10,36.00-47.00,3.60,4.70,4.550,101.0,40.0%,+23.077%
62,06969.HK,2020/07/10,559.65-722.88,9.60,12.40,12.400,115.0,20.0%,+150.000%
63,06978.HK,2020/07/10,54.03-56.60,10.50,11.00,11.000,258.6,20.0%,+40.727%
64,08623.HK,2020/07/10,2.00-3.20,0.25,0.40,0.300,28.1,60.0%,-27.667%
65,09979.HK,2020/07/10,43.08-58.74,2.20,3.00,2.500,10.2,40.0%,+30.000%
66,01957.HK,2020/07/08,5.02-5.53,0.80,0.88,0.800,22.5,65.0%,-56.875%
67,09989.HK,2020/07/08,40.50-45.34,18.40,20.60,18.400,68.2,40.0%,-4.022%
68,01971.HK,2020/07/07,13.70-17.85,3.30,4.30,4.150,110.8,30.0%,+6.024%
69,01502.HK,2020/07/06,6.44-6.80,7.16,7.56,7.360,145.2,20.0%,+28.533%
70,01650.HK,2020/07/03,5.00-6.00,0.25,0.30,0.250,18.9,20.0%,-46.400%
71,06078.HK,2020/06/29,102.00-111.00,17.00,18.50,18.500,607.6,8.8%,+40.541%
72,09997.HK,2020/06/29,154.77-173.81,12.36,13.88,13.880,988.2,9.0%,+98.847%
73,09958.HK,2020/06/22,7.68-11.52,2.56,3.84,2.560,10.7,20.0%,-37.891%
74,09618.HK,2020/06/18,"7,293.28",236.00,236.00,226.000,177.9,10.0%,+3.540%
76,09999.HK,2020/06/11,"4,321.04",126.00,126.00,123.000,359.5,8.0%,+5.691%
77,01645.HK,2020/06/03,5.01-6.96,1.08,1.50,1.380,167.3,8.0%,-13.043%
78,02381.HK,2020/06/02,5.00,0.25,0.25,0.250,36.3,33.1%,-43.600%
79,09923.HK,2020/06/01,52.43-69.02,12.64,16.64,16.640,640.4,10.0%,+6.130%
81,09939.HK,2020/05/22,65.75-74.43,17.80,20.15,20.150,550.3,10.0%,+6.700%
82,08496.HK,2020/05/18,2.16-2.64,0.90,1.10,0.900,15.4,12.3%,+128.889%
83,09983.HK,2020/05/15,67.20-86.40,5.60,7.20,6.850,141.5,25.0%,+22.190%
84,09996.HK,2020/05/15,93.70,15.36,15.36,15.360,"1,183.4",8.5%,+67.969%
85,01147.HK,2020/05/13,5.00,0.25,0.25,0.250,114.6,30.0%,-34.800%
86,01936.HK,2020/05/13,5.00-6.00,1.00,1.20,1.000,4.3,30.0%,+176.000%
87,01376.HK,2020/05/07,5.00-6.50,0.50,0.65,0.500,13.2,10.0%,+26.000%
88,01953.HK,2020/04/28,5.04-5.80,0.40,0.46,0.400,14.9,25.0%,+18.750%
89,09926.HK,2020/04/24,113.55-123.47,14.88,16.18,16.180,638.2,12.0%,+50.185%
90,08616.HK,2020/04/23,2.40-2.80,0.24,0.28,0.240,33.7,20.0%,+112.500%
92,08620.HK,2020/04/20,2.02-2.78,0.42,0.58,0.500,195.2,10.0%,-36.000%
93,01942.HK,2020/04/15,5.00-6.00,1.00,1.20,1.000,39.0,35.0%,-50.000%
94,03390.HK,2020/04/15,11.84-12.16,1.48,1.52,1.490,5.8,25.1%,-35.570%
95,06063.HK,2020/04/15,5.00-5.80,0.25,0.29,0.250,13.2,20.0%,+176.000%
96,01463.HK,2020/03/27,5.04-5.84,0.63,0.73,0.630,10.2,13.0%,+36.508%
97,09969.HK,2020/03/23,102.38-112.02,8.18,8.95,8.950,297.8,25.0%,+9.609%
99,00589.HK,2020/03/18,8.44-10.31,1.35,1.65,1.650,58.0,60.0%,+14.545%
101,06918.HK,2020/03/18,6.08-7.64,1.17,1.47,1.380,19.4,50.0%,-34.783%
102,01472.HK,2020/03/17,5.00-6.30,0.50,0.63,0.500,1.5,75.8%,+148.000%
103,01961.HK,2020/03/17,8.19-9.83,1.50,1.80,1.350,22.1,60.0%,+3.704%
105,01941.HK,2020/03/13,5.28-6.32,1.32,1.58,1.560,"1,947.6",3.0%,+10.256%
106,01343.HK,2020/03/12,5.11-6.38,0.48,0.60,0.480,3.8,30.0%,+64.583%
107,01433.HK,2020/03/12,5.00-5.80,0.25,0.29,0.250,73.7,70.0%,-40.000%
108,01950.HK,2020/03/12,5.00-6.00,0.50,0.60,0.520,11.5,30.0%,-1.923%
109,09936.HK,2020/03/12,6.69-8.67,2.23,2.89,2.230,14.7,35.0%,-8.969%
110,09916.HK,2020/03/09,6.00-8.00,1.50,2.00,1.990,"1,413.1",3.0%,+2.010%
111,02263.HK,2020/02/19,5.00-6.00,0.50,0.60,0.500,129.4,20.0%,-20.000%
113,01442.HK,2020/01/21,5.60-6.80,0.28,0.34,0.310,9.5,10.0%,+9.677%
114,01601.HK,2020/01/21,5.07-5.73,1.52,1.72,1.520,4.8,100.0%,0.000%
115,09933.HK,2020/01/21,5.10-6.50,0.51,0.65,0.510,20.7,40.0%,-31.373%
116,01745.HK,2020/01/17,21.15-29.90,1.50,2.12,2.120,83.7,20.0%,-10.377%
117,01937.HK,2020/01/17,5.30-6.00,0.53,0.60,0.530,6.6,50.0%,-36.792%
118,09938.HK,2020/01/17,5.00-5.40,0.50,0.54,0.500,15.7,25.0%,+60.000%
119,00301.HK,2020/01/16,5.13-5.99,1.20,1.40,1.300,36.8,30.0%,-20.769%
120,01412.HK,2020/01/16,5.59-7.71,1.05,1.45,1.180,5.8,49.3%,-6.780%
121,01525.HK,2020/01/16,24.20-30.92,6.05,7.73,6.050,3.5,40.0%,+12.562%
122,01740.HK,2020/01/16,5.00-7.40,0.50,0.74,0.500,"1,211.2",1.5%,+40.000%
123,01925.HK,2020/01/16,5.12-6.40,1.28,1.60,1.280,16.7,60.0%,-25.000%
124,09919.HK,2020/01/16,13.68-18.72,1.71,2.34,2.020,112.8,20.0%,-22.277%
126,01416.HK,2020/01/15,5.04-5.32,0.36,0.38,0.360,17.2,18.2%,-29.167%
127,03718.HK,2020/01/15,24.84-28.80,0.69,0.80,0.690,1.7,80.0%,0.000%
128,09922.HK,2020/01/15,73.34-88.00,5.50,6.60,6.600,636.8,25.0%,+56.364%
129,01802.HK,2020/01/14,6.30-8.14,1.06,1.37,1.060,11.6,25.0%,+2.830%
130,08500.HK,2020/01/14,2.48-3.56,1.38,1.98,1.390,14.1,19.9%,-28.777%
131,02528.HK,2020/01/13,6.80-8.40,1.70,2.10,2.000,16.7,14.0%,-27.000%
132,08646.HK,2020/01/13,2.31-2.67,0.77,0.89,0.770,26.9,10.5%,+2.597%
133,09918.HK,2020/01/10,5.00-6.20,0.25,0.31,0.250,34.2,40.0%,-0.400%
134,09998.HK,2020/01/08,5.20-6.00,0.65,0.75,0.650,47.7,5.3%,-7.692%
135,01542.HK,2019/12/31,2.11-2.51,4.21,5.01,4.220,4.5,20.0%,0.000%
136,09911.HK,2019/12/31,14.00-18.00,1.40,1.80,1.680,"1,440.8",2.0%,+93.452%
139,09909.HK,2019/12/30,46.69-62.25,7.50,10.00,9.500,52.2,90.0%,+5.895%
143,06049.HK,2019/12/19,47.07-53.82,30.70,35.10,35.100,221.7,100.0%,+29.202%
144,09928.HK,2019/12/19,38.44-52.70,4.23,5.80,5.150,9.6,35.0%,-5.243%
146,01553.HK,2019/12/18,8.07-10.41,1.86,2.40,2.280,7.3,20.0%,-5.702%
147,01691.HK,2019/12/18,173.27,5.20,5.20,5.200,1.7,100.0%,+5.577%
148,06193.HK,2019/12/18,5.20-5.60,1.30,1.40,1.300,41.0,15.0%,+13.846%
150,01593.HK,2019/12/13,22.00-35.20,2.20,3.52,2.200,0.7,100.0%,-6.364%
151,03680.HK,2019/12/13,6.00-7.20,1.50,1.80,1.500,14.2,60.0%,+8.000%
153,08216.HK,2019/12/13,2.40-2.80,0.60,0.70,0.600,23.4,30.0%,-27.500%
154,02400.HK,2019/12/12,47.51-67.63,11.10,15.80,11.100,10.2,40.0%,+6.847%
156,09966.HK,2019/12/12,84.08-94.24,9.10,10.20,10.200,191.1,40.0%,+32.353%
157,01503.HK,2019/12/10,38.57-45.11,3.42,4.00,3.420,0.4,100.0%,-7.895%
158,02500.HK,2019/12/10,49.57-56.41,29.00,33.00,33.000,311.4,30.0%,+30.455%
159,08645.HK,2019/12/09,2.04-2.40,0.34,0.40,0.400,147.6,20.0%,-30.000%
160,02231.HK,2019/12/05,46.56-58.08,2.91,3.63,3.160,0.9,100.0%,+2.215%
161,08208.HK,2019/11/29,2.28-2.88,0.38,0.48,0.400,29.3,28.0%,0.000%
162,01425.HK,2019/11/28,5.00-6.25,0.40,0.50,0.400,13.0,21.0%,+3.750%
163,03759.HK,2019/11/28,46.24-52.94,34.50,39.50,39.500,113.2,100.0%,+6.962%
164,09988.HK,2019/11/26,"40,348.15",188.00,188.00,176.000,41.4,80.0%,+6.591%
165,01756.HK,2019/11/25,35.16-39.12,2.93,3.26,3.260,2.7,70.0%,-17.178%
166,02296.HK,2019/11/21,5.00-6.00,0.25,0.30,0.250,60.0,25.0%,+4.000%
169,03348.HK,2019/11/15,5.25-7.90,1.05,1.58,1.580,26.7,50.0%,-21.519%
170,08617.HK,2019/11/15,2.00-2.40,0.50,0.60,0.550,61.7,30.0%,+1.818%
171,01747.HK,2019/11/14,5.10-7.45,1.02,1.49,1.020,15.1,40.0%,-9.804%
173,08627.HK,2019/11/14,2.00-2.64,0.25,0.33,0.275,35.1,30.0%,+1.818%
174,01346.HK,2019/11/13,5.44-6.72,0.85,1.05,0.850,30.2,40.0%,-27.059%
175,01401.HK,2019/11/13,5.00-6.00,0.50,0.60,0.500,73.0,5.0%,+24.000%
176,06186.HK,2019/11/13,670.00-893.33,7.50,10.00,7.500,12.1,65.0%,-0.800%
178,01640.HK,2019/11/12,5.00-7.00,1.25,1.75,1.250,18.5,65.0%,-0.800%
179,03681.HK,2019/11/12,76.47-96.60,7.60,9.60,7.600,11.9,100.0%,-21.053%
181,01501.HK,2019/11/08,8.04-8.32,20.10,20.80,20.800,267.0,30.0%,+29.808%
182,01870.HK,2019/11/08,5.04-6.81,0.97,1.31,0.970,19.1,25.0%,+46.392%
183,01875.HK,2019/11/08,37.34-43.04,6.55,7.55,6.550,12.0,15.0%,-4.427%
184,01921.HK,2019/11/08,23.85-27.45,1.59,1.83,1.590,1.5,60.0%,-3.774%
185,01987.HK,2019/11/08,5.00-7.00,0.50,0.70,0.500,25.4,35.0%,0.000%
186,03603.HK,2019/11/08,13.50-16.50,0.90,1.10,1.000,3.6,80.0%,+30.000%
187,01922.HK,2019/11/06,5.07-6.08,1.90,2.28,2.180,381.9,3.0%,+15.596%
188,02163.HK,2019/11/06,11.80-15.21,9.68,12.48,9.680,0.4,100.0%,-0.103%
189,01821.HK,2019/11/01,491.93-528.37,16.20,17.40,16.800,2.2,100.0%,+5.357%
190,00302.HK,2019/10/31,51.03-65.94,2.19,2.83,2.830,542.8,15.0%,+2.120%
191,01847.HK,2019/10/31,3.70-4.70,2.76,3.51,3.360,17.5,70.0%,-20.833%
192,06855.HK,2019/10/28,66.68-70.82,32.20,34.20,34.200,751.0,9.0%,+9.942%
193,01692.HK,2019/10/25,5.20-6.00,1.30,1.50,1.300,273.5,10.0%,-33.846%
194,01853.HK,2019/10/24,2.22-2.92,1.90,2.50,2.350,97.3,20.0%,-6.383%
195,01871.HK,2019/10/24,5.12-5.68,1.28,1.42,1.280,379.2,1.6%,-32.031%
197,01843.HK,2019/10/23,5.20-6.00,0.65,0.75,0.650,12.7,19.5%,-6.154%
198,08441.HK,2019/10/22,2.56-3.12,0.32,0.39,0.320,40.6,30.0%,+78.125%
199,01283.HK,2019/10/18,5.00-6.00,0.625,0.75,0.730,80.6,10.0%,+1.370%
200,01959.HK,2019/10/18,5.05-6.15,1.01,1.23,1.080,21.2,40.0%,-28.704%
201,01967.HK,2019/10/18,5.00-6.25,2.00,2.50,2.000,11.9,15.0%,+70.000%
202,02606.HK,2019/10/18,52.53-66.95,30.60,39.00,37.000,51.9,100.0%,+15.000%
203,01084.HK,2019/10/17,9.28-13.92,1.16,1.74,1.160,0.6,100.0%,+16.379%
204,01582.HK,2019/10/16,5.00-7.00,1.00,1.40,1.000,8.9,20.0%,+15.000%
205,01955.HK,2019/10/16,5.00-6.00,1.00,1.20,1.000,49.0,50.0%,+23.000%
206,01846.HK,2019/10/15,19.67-27.93,6.20,8.80,7.500,41.7,30.0%,+46.667%
207,01895.HK,2019/10/11,10.40-15.00,2.08,3.00,2.080,5.0,20.0%,+41.827%
208,08418.HK,2019/10/11,1.70-2.21,0.20,0.26,0.240,27.2,40.0%,+93.750%
209,03601.HK,2019/10/10,5.98-7.80,2.30,3.00,2.700,276.4,20.0%,+218.519%
210,06110.HK,2019/10/10,514.70-626.32,8.30,10.10,8.500,1.4,100.0%,+8.824%
211,06820.HK,2019/10/08,33.44-43.12,1.52,1.96,1.520,7.0,50.0%,0.000%
212,01876.HK,2019/09/30,"3,575.72-3,973.02",27.00,30.00,27.000,2.6,100.0%,+4.444%
213,01960.HK,2019/09/30,5.00-6.00,0.50,0.60,0.500,8.6,10.0%,+60.000%
214,03938.HK,2019/09/30,5.20-6.80,1.30,1.70,1.680,27.4,25.1%,-36.310%
215,08668.HK,2019/09/26,2.40-2.88,0.20,0.24,0.240,53.9,30.0%,+0.417%
216,02696.HK,2019/09/25,78.89-91.94,49.60,57.80,49.600,2.9,100.0%,-0.302%
217,03928.HK,2019/09/19,5.04-5.52,1.05,1.15,1.070,6.2,35.0%,+14.019%
223,00382.HK,2019/07/16,24.80-32.20,2.48,3.22,2.850,1.4,100.0%,+0.702%
224,01134.HK,2019/07/16,5.00-6.00,1.00,1.20,1.000,28.7,15.0%,+6.000%
225,01912.HK,2019/07/16,5.04-5.44,0.63,0.68,0.650,38.9,25.0%,+6.154%
226,01949.HK,2019/07/16,5.00-6.20,1.25,1.55,1.250,12.7,14.0%,+24.000%
227,02772.HK,2019/07/16,183.56-235.80,5.20,6.68,5.550,0.0,100.0%,+7.207%
228,06805.HK,2019/07/16,12.10-16.13,1.08,1.44,1.330,1.0,90.0%,-2.256%
229,01931.HK,2019/07/12,40.94-49.07,3.07,3.68,3.070,1.2,50.0%,0.000%
231,06093.HK,2019/07/12,5.12-6.24,1.28,1.56,1.280,4.3,20.0%,+34.375%
232,08612.HK,2019/07/12,2.40-3.30,0.40,0.55,0.550,27.2,35.0%,+41.818%
233,01839.HK,2019/07/11,35.98-45.56,6.38,8.08,6.380,1.7,100.0%,-3.762%
234,02180.HK,2019/07/10,19.80-25.20,9.90,12.6,9.900,3.7,85.0%,-1.010%
235,00924.HK,2019/07/05,5.00-6.00,0.50,0.60,0.500,12.4,6.8%,+132.000%
236,03798.HK,2019/07/04,16.96-23.24,1.35,1.85,1.350,1.8,60.0%,+26.667%
237,01286.HK,2019/06/28,52.73-62.15,2.80,3.30,3.000,1.7,100.0%,+0.333%
238,01701.HK,2019/06/28,5.20-6.80,0.52,0.68,0.520,5.2,60.0%,-41.346%
240,01901.HK,2019/06/28,5.00-5.50,1.00,1.10,1.050,18.1,50.0%,-6.667%
241,01930.HK,2019/06/28,5.28-5.81,0.80,0.88,0.880,5.0,40.0%,+34.091%
242,01943.HK,2019/06/28,5.00-5.40,0.50,0.54,0.500,2.2,100.0%,-7.000%
244,01849.HK,2019/06/26,5.20-5.60,0.65,0.70,0.650,8.0,25.0%,-24.615%
245,01951.HK,2019/06/25,188.91-207.90,7.76,8.54,8.540,98.3,65.0%,+8.665%
246,01769.HK,2019/06/21,20.23-26.01,3.64,4.68,3.680,0.6,100.0%,+0.272%
251,03692.HK,2019/06/14,745.19-813.66,13.06,14.26,14.260,10.8,60.0%,+36.746%
252,02189.HK,2019/06/13,6.00-6.40,0.60,0.64,0.600,79.4,20.0%,-6.667%
253,06811.HK,2019/06/13,28.00-38.00,2.80,3.80,3.000,14.5,80.0%,-12.000%
255,06055.HK,2019/06/12,26.84-33.75,3.88,4.88,4.880,101.0,60.0%,+9.631%
257,02181.HK,2019/05/31,61.86-80.42,1.50,1.95,1.500,0.5,100.0%,-19.333%
258,01521.HK,2019/05/30,51.19-64.24,2.55,3.20,3.200,90.7,50.0%,+4.688%
260,03868.HK,2019/05/28,125.26-155.74,1.89,2.35,1.940,0.1,100.0%,0.000%
262,02230.HK,2019/05/21,8.96-10.56,0.45,0.53,0.450,14.8,60.0%,-31.111%
263,01832.HK,2019/05/16,12.74-16.13,3.54,4.48,3.540,0.2,100.0%,-2.260%
264,02346.HK,2019/05/16,5.00-6.10,1.00,1.22,1.000,10.4,50.0%,+11.000%
265,01903.HK,2019/05/10,5.90-6.90,1.18,1.38,1.180,0.2,100.0%,+4.237%
267,01873.HK,2019/05/09,51.30-66.15,3.42,4.41,4.410,105.9,100.0%,+0.227%
268,01857.HK,2019/05/08,83.12-120.93,2.99,4.35,2.990,1.4,100.0%,-11.371%
269,01753.HK,2019/05/07,66.67-90.00,6.00,8.10,6.000,6.7,100.0%,+0.167%
270,08635.HK,2019/05/02,2.12-2.68,0.53,0.67,0.530,100.3,15.0%,+37.736%
271,01780.HK,2019/04/30,5.21-6.57,0.84,1.06,0.840,10.3,30.0%,+5.952%
272,01906.HK,2019/04/26,5.52-7.20,0.46,0.60,0.580,94.9,50.0%,0.000%
273,06806.HK,2019/04/26,90.90-98.41,3.63,3.93,3.630,2.8,100.0%,-11.846%
274,01545.HK,2019/04/25,6.00-7.80,0.30,0.39,0.300,54.9,50.0%,-10.000%
275,03321.HK,2019/04/23,7.00-9.00,1.40,1.80,1.400,6.9,16.0%,-0.714%
276,02660.HK,2019/04/16,11.20-13.20,1.12,1.32,1.230,46.5,50.0%,+30.894%
278,01797.HK,2019/03/28,85.00-101.45,9.30,11.10,10.200,8.2,100.0%,0.000%
279,06185.HK,2019/03/28,27.86-29.19,21.00,22.00,22.000,89.8,100.0%,+57.727%
280,01865.HK,2019/03/27,5.06-5.98,0.55,0.65,0.550,26.0,50.0%,+20.000%
282,08537.HK,2019/03/27,2.25-2.55,0.30,0.34,0.300,102.7,14.0%,+35.000%
286,03662.HK,2019/03/18,24.36-30.10,3.48,4.30,3.660,5.2,100.0%,+21.585%
287,01563.HK,2019/03/15,12.60-25.05,0.84,1.67,0.850,0.1,100.0%,-2.353%
288,01891.HK,2019/03/15,5.00-6.20,0.50,0.62,0.500,205.6,50.0%,-26.000%
289,01907.HK,2019/03/15,110.40-127.20,2.76,3.18,2.800,0.2,100.0%,0.000%
290,03316.HK,2019/03/15,14.40-18.67,5.40,7.00,6.960,6.1,100.0%,+5.172%
291,08096.HK,2019/03/15,2.00-3.50,0.40,0.70,0.700,145.2,50.0%,-32.143%
292,01917.HK,2019/03/14,9.20-11.50,0.40,0.50,0.410,440.7,20.0%,+53.659%
293,01158.HK,2019/03/11,9.36-14.04,13.37,20.05,16.500,0.5,100.0%,+2.303%
296,02108.HK,2019/03/06,5.20-6.00,0.65,0.75,0.750,15.4,45.0%,-10.667%
297,01025.HK,2019/02/28,5.10-6.55,0.98,1.26,0.980,18.3,48.6%,+8.163%
298,01872.HK,2019/02/28,3.87-4.23,0.43,0.47,0.430,71.5,50.0%,+46.512%
299,01793.HK,2019/02/27,5.00-6.00,0.625,0.75,0.625,15.2,15.0%,+4.000%
301,02616.HK,2019/02/26,109.23-125.96,11.10,12.80,12.000,6.2,100.0%,+7.167%
302,08607.HK,2019/02/26,3.20-6.40,0.40,0.80,0.400,9.3,15.0%,+10.000%
303,08036.HK,2019/02/19,3.44-5.41,0.28,0.44,0.280,120.0,30.0%,0.000%
305,01703.HK,2019/02/15,5.00-7.50,0.50,0.75,0.500,16.7,50.2%,+22.000%
307,01896.HK,2019/02/04,166.68-229.75,14.80,20.40,14.800,1.3,100.0%,-1.100%
308,01890.HK,2019/01/25,41.60-54.00,2.08,2.70,2.480,0.6,100.0%,+1.210%
309,01851.HK,2019/01/18,6.20-9.90,1.24,1.98,1.440,1.6,50.0%,-6.250%
312,06162.HK,2019/01/15,5.00-6.20,0.25,0.31,0.250,6.2,25.0%,-0.800%
313,01767.HK,2019/01/14,5.00-5.50,0.50,0.55,0.500,15.9,15.0%,+26.000%
315,02360.HK,2019/01/11,10.00-12.00,1.00,1.20,1.000,9.9,30.0%,+17.000%
316,02885.HK,2019/01/11,5.00-6.20,1.25,1.55,1.250,5.1,50.1%,-25.600%
317,08631.HK,2019/01/08,2.00-2.80,0.50,0.70,0.600,42.4,18.0%,-17.500%
318,01743.HK,2019/01/04,2.34-3.27,13.50,18.90,15.800,2.3,70.0%,-9.747%
319,01845.HK,2019/01/03,11.73-13.33,0.88,1.00,0.880,1.4,70.0%,+2.273%
321,01796.HK,2018/12/31,5.04-6.00,1.05,1.25,1.050,12.0,50.0%,-6.667%
323,01759.HK,2018/12/28,6.05-7.34,2.80,3.40,2.800,6.4,30.1%,+1.429%
324,03978.HK,2018/12/27,18.69-24.64,2.20,2.90,2.400,0.8,100.0%,0.000%
325,01877.HK,2018/12/24,35.42-37.24,19.38,20.38,19.380,3.8,100.0%,+22.549%
326,01762.HK,2018/12/21,45.33-58.82,3.56,4.62,3.560,2.3,60.0%,-15.730%
327,01820.HK,2018/12/21,11.97-14.31,3.98,4.76,3.980,3.0,40.0%,0.000%
331,01995.HK,2018/12/17,24.00-31.20,1.60,2.08,1.780,0.2,100.0%,0.000%
333,02359.HK,2018/12/13,78.07-87.08,64.10,71.50,68.000,0.9,100.0%,0.000%
334,08622.HK,2018/12/13,1.76-2.56,0.44,0.64,0.500,130.5,15.0%,-6.000%
335,01837.HK,2018/12/12,35.98-46.64,1.62,2.10,1.620,0.4,100.0%,-12.346%
336,01860.HK,2018/12/12,59.83-78.24,3.90,5.10,4.000,0.8,100.0%,-0.250%
337,02798.HK,2018/12/12,9.60-15.36,0.60,0.96,0.680,7.5,30.0%,0.000%
338,08621.HK,2018/12/12,3.12-4.00,0.39,0.50,0.390,36.1,38.0%,+41.026%
339,03992.HK,2018/12/11,5.00-5.50,1.00,1.10,1.000,58.4,30.0%,-16.000%
340,01119.HK,2018/12/06,76.18-99.04,6.00,7.80,6.600,11.6,35.0%,-8.636%
341,02168.HK,2018/12/06,12.71-15.23,9.08,10.88,9.380,19.4,70.0%,-1.493%
345,01761.HK,2018/11/27,114.82-148.59,6.80,8.80,6.800,0.2,100.0%,+1.029%
